mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.12906058629353842,0.0009462248469685783,0.0100404421488444,0.00011879791700270663,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",-7093.824426568081,-3505.8086485266476,-3850.6837242403753,-4816.772266445035,1616.263099333957,1,-1846.5945247179918,-1654.206305060289,-1319.7468265447972,-1606.8492187743593,217.67582086475622
0.2607862949371338,0.00957541828421336,0.020218928654988606,0.0008923977654979582,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-7477.1716636091,-3563.89105781853,-3874.343227140543,-4971.801982856058,1776.0917891608033,5,-1864.0901466314529,-1645.834009876353,-1323.1918363471057,-1611.0386642849705,222.18728222415325
0.12210424741109212,0.0009472370914495791,0.01054676373799642,0.0009479107209090141,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",-7177.822522415701,-3531.601774289104,-3940.464292359189,-4883.296196354665,1631.0386129520907,2,-1878.1195922153947,-1679.3295976031459,-1358.6333336624857,-1638.6941744936755,214.01701087341823
0.2435014247894287,0.004532559301768963,0.019179900487263996,0.0008693820800674566,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",-7537.455409394814,-3584.194327384377,-3919.692564553796,-5013.780767110996,1789.7560433134854,6,-1898.3026796447066,-1674.8963729508841,-1365.0692450761824,-1646.0894325572579,218.64256035299198
0.13636191685994467,0.00641030977943987,0.01050098737080892,0.0011467919665790925,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",-7001.9859935535505,-3730.1667636173383,-4052.601503336962,-4928.251420169284,1472.2482469523577,4,-1369.6221502782323,-1196.3932334885003,-982.8402641492866,-1182.9518826386732,158.18883081909271
0.23630897204081217,0.003794452673536782,0.011256694793701172,0.0024151830070682717,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",-7358.152628539433,-3847.9150392841552,-4076.6708682159106,-5094.246178679833,1603.5453673250588,8,-1346.5955922507885,-1197.6651566205,-965.9306860645079,-1170.0638116452653,156.6265588031691
0.11055270830790202,0.0064125014122434505,0.0074456532796223955,0.002558593565362726,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",-7121.712229280534,-3633.179032149207,-4010.7852373074384,-4921.892166245726,1563.1278138913976,3,-1472.3785380894133,-1383.9265086936625,-1105.921545243048,-1320.7421973420412,156.13429006730968
0.1642895539601644,0.010608888633163296,0.007837136586507162,0.00048744938773960273,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",-7478.155464098162,-3736.5779528590156,-3997.0083371192727,-5070.580584692149,1705.7292861064134,7,-1459.890885676956,-1372.9085755131462,-1114.2939290370819,-1315.6977967423948,146.77447329231032
