loss,mae,val_loss,val_mae
6610.4755859375,6610.9755859375,0.06383734941482544,0.3360825479030609
6610.06298828125,6610.56298828125,0.056601569056510925,0.3137763738632202
6609.6396484375,6610.1396484375,0.04881996288895607,0.28781265020370483
6609.09716796875,6609.59716796875,0.04231467843055725,0.2646474242210388
6608.6240234375,6609.1240234375,0.03476261347532272,0.2366950660943985
6608.07275390625,6608.57275390625,0.02819567546248436,0.2102944701910019
6607.38818359375,6607.88818359375,0.022375384345650673,0.18513700366020203
6606.814453125,6607.314453125,0.017061997205018997,0.1613803505897522
6606.2880859375,6606.7880859375,0.01306886225938797,0.14257042109966278
6605.59033203125,6606.09033203125,0.010478762909770012,0.1302792727947235
6605.07861328125,6605.57861328125,0.009088460355997086,0.11800779402256012
6604.65380859375,6605.15380859375,0.009264294058084488,0.11385948210954666
6604.04296875,6604.54296875,0.011329114437103271,0.11645782738924026
6603.85986328125,6604.35986328125,0.014540653675794601,0.12771695852279663
6603.26904296875,6603.76904296875,0.020256634801626205,0.14946989715099335
6603.41650390625,6603.91650390625,0.02734023705124855,0.17979224026203156
6602.9375,6603.4375,0.03653766214847565,0.2188662588596344
6602.8720703125,6603.3720703125,0.04740474373102188,0.26015812158584595
