mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.14329155286153158,0.011964717576191282,0.01125486691792806,0.0006570121721225104,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",-8143.714536985226,-4157.512123581765,-4060.4027546435063,-5453.876471736832,1902.4158624107947,4,-1864.853017616198,-1369.330999522587,-1605.6626097471506,-1613.2822089619785,202.36775323329422
0.27448662122090656,0.002670550910564518,0.019932270050048828,0.001228855198444361,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-8324.380569495144,-4081.5887939376353,-3733.2275920823963,-5379.732318505058,2087.032003154038,2,-1913.990845400254,-1339.7320340373262,-1658.6454950535738,-1637.4561248303846,234.9184790018759
0.1375901699066162,0.0016214395272396752,0.010368982950846354,0.00014991509666268334,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",-8186.479896413799,-4139.756599819759,-3908.103657419965,-5411.446717884508,1964.5224403374996,3,-2100.9077349692043,-1395.042865768419,-1746.46999840084,-1747.4735330461544,288.1689998412953
0.2760963439941406,0.009739433900948646,0.01753656069437663,0.005321035599395994,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",-8260.614836291968,-4084.443114264568,-3757.372599580792,-5367.476850045777,2050.11045816063,1,-2112.2875161555776,-1382.9468418489146,-1796.303730638202,-1763.8460295475645,298.6353200472569
0.1308751900990804,0.0018143377574889414,0.009838422139485678,0.0005360441617915497,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",-8182.591908843289,-4195.45792640606,-4489.531345761417,-5622.527060336922,1814.2158665038155,8,-1458.4588098864954,-961.510149434343,-1221.474682889495,-1213.8145474034445,202.9507346427463
0.2523004213968913,0.003046847638468971,0.012493610382080078,0.002977520363703197,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",-8461.37605202929,-4126.294665766185,-4187.568361038463,-5591.746359611313,2029.2887990850807,7,-1486.3649563310921,-946.9907472116128,-1250.7621287605282,-1228.039277434411,220.7840277210704
0.12804015477498373,0.0035811676110780667,0.006451765696207683,0.0033224357438752456,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",-8299.108415390301,-4161.752023195672,-4250.065383101677,-5570.308607229216,1929.8896526571064,6,-1754.0750747423035,-1122.5411905103892,-1456.1039637185,-1444.240076323731,257.9590737582857
0.15263724327087402,0.008651119224972664,0.0075711409250895185,0.003762724273036506,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",-8425.41151137581,-4099.357138250602,-4165.073108637243,-5563.280586087884,2024.0100003554169,5,-1750.1406453143788,-1118.1145333101706,-1488.7264068506133,-1452.3271951583877,259.30410528007536
