mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.13788994153340658,0.0034967979030085866,0.010967731475830078,0.0007503731543228783,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",-5169.197921681716,-5220.109195826998,-6999.233949604744,-5796.180355704487,850.941224686335,1,-2787.9495311999012,-1823.5417323677195,-1823.080619864074,-2144.857294477232,454.7349204799868
0.2620040575663249,0.0030808472797767762,0.018200397491455078,3.137235805240983e-05,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-5313.36078601068,-5165.52534512091,-7064.968207251225,-5847.951446127605,862.6745918122459,2,-2777.7499547736,-1801.0244834820571,-1772.7459840782315,-2117.1734741112964,467.2407541337973
0.12025920550028484,0.0008804805622303657,0.009893496831258139,0.00032548606210013097,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",-5249.615057509896,-5188.059376992264,-7141.907941563476,-5859.860792021879,906.8924764222044,3,-2870.1963161473086,-1896.452463256664,-1897.6628406878838,-2221.4372066972855,458.7422317774052
0.2511386076609294,0.004772596733777611,0.02225335439046224,0.0016399830965719124,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",-5402.960602724966,-5150.054579360684,-7122.355631363925,-5891.790271149858,876.2452828147169,4,-2853.1716174980975,-1844.986641485418,-1843.6591682294709,-2180.6058090709953,475.5761527138861
0.12503457069396973,0.001894755044174071,0.010124127070109049,1.2961631163199815e-06,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",-5493.3283785251015,-5053.317982395073,-7803.496250207799,-6116.7142037093245,1206.1861496656343,8,-1964.175163111873,-1233.3080430462583,-1374.7442477548134,-1524.0758179709817,316.5086888703807
0.240128755569458,0.01719573361236001,0.012626091639200846,0.0003514822150810851,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",-5637.210121031847,-5031.205367611026,-7585.6474517036695,-6084.687646782181,1089.792240837559,7,-1938.665874316669,-1232.536076503026,-1308.1661487394208,-1493.1226998530385,316.55596365673625
0.11585148175557454,0.007312746846622296,0.008465846379597982,0.0007545304894556749,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",-5437.278057554409,-5058.7829865625945,-7412.891875104913,-5969.650973073972,1032.1572411419322,5,-2263.071046365697,-1431.6781282418194,-1554.1929774088433,-1749.6473840054532,366.4745237804476
0.16257532437642416,0.008299669234187419,0.008994102478027344,0.001846883860736257,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",-5697.922963479737,-4991.505066061457,-7449.570300064201,-6046.332776535131,1033.2999635563117,6,-2236.4032920243353,-1413.0029691482096,-1510.5952407141524,-1720.000500628899,367.3190666510511
