mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.1222244103749593,0.003868781662964594,0.010312159856160482,0.0002869283046206527,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",-7085.458132847805,-3579.1117335975814,-6472.675756835978,-5712.415207760455,1529.076702838288,7,-2408.7933981734964,-1877.2137043020668,-1315.996620262414,-1867.3345742459924,446.18710377389857
0.24468469619750977,0.009510943158265011,0.01693121592203776,0.0012327349779092242,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-6853.936105286818,-3587.2400117661978,-6344.297302294108,-5595.157806449041,1434.975802358579,4,-2381.62911097846,-1812.7784154419278,-1311.7240997007777,-1835.377208707055,437.07910220924117
0.12223243713378906,0.001556167727434999,0.009685039520263672,0.00041325393392597733,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",-6996.631980162092,-3572.1678013479423,-6186.722234432997,-5585.174005314344,1461.3085304986437,3,-2481.264335867147,-1944.563293247283,-1444.270817216703,-1956.6994821103779,423.437799242382
0.25938161214192706,0.0009793308389192533,0.019286314646402996,2.4501367934333064e-05,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",-6772.4843951895755,-3596.9195492843573,-6126.932509787946,-5498.778818087293,1370.3979514323876,1,-2462.009758326101,-1871.5023664167838,-1436.170456587683,-1923.2275271101892,420.39123637738544
0.12220907211303711,0.0018828131307880233,0.009102582931518555,1.045241843070172e-05,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",-7365.027060145849,-3698.853201672549,-6217.022815658612,-5760.30102582567,1531.1550727298231,8,-1781.5555750178862,-1371.5461578563322,-1043.0832876438706,-1398.7283401726963,302.0921306284588
0.2518351078033447,0.0015114629641677394,0.01285568873087565,0.0018223721431705594,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",-6983.895261288363,-3616.140689846781,-6238.110981578709,-5612.71564423795,1444.2488726767488,5,-1732.9278049781228,-1326.4902021690898,-1046.587325794546,-1368.6684443139195,281.78013464911066
0.12388920783996582,0.0020979453261713485,0.011137962341308594,0.000635784973697386,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",-7227.314325961724,-3579.2202172165607,-6070.595830474393,-5625.710124550892,1522.189240330426,6,-2071.2263493829664,-1621.1913060701859,-1228.2117998958947,-1640.2098184496824,344.42189295646256
0.173235813776652,0.0024199966082428695,0.008221626281738281,0.006103584517646444,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",-6911.229263882593,-3572.2609564727372,-6044.325088225366,-5509.271769526898,1414.658705568129,2,-1998.630967084232,-1566.3361820934256,-1231.3048103261015,-1598.7573198345863,314.0973366549763
