mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.12404402097066243,0.004366707963228045,0.010116259256998697,0.0016373655942786994,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",-3887.380279207792,-2981.0650203295513,-2856.3197018543697,-3241.5883337972373,459.4749004303571,3,-1476.1591132241228,-1292.9123269702204,-1307.1801926329308,-1358.750544275758,83.22448375536088
0.2600061098734538,0.012184522768472596,0.018315871556599934,0.000455108795689343,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-3960.0497604104867,-2943.169596294889,-2928.048285851922,-3277.0892141857657,482.9654882646412,7,-1454.8133732134527,-1265.6422293582418,-1270.4583088793938,-1330.3046371503629,88.06292323299158
0.12038548787434895,0.004376325683583007,0.010789235432942709,0.0009408300704986406,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",-3922.743902950649,-2978.5205948262324,-2716.437170463953,-3205.900556080278,518.054191692723,1,-1519.2098978145204,-1300.0289248121155,-1390.0074129002749,-1403.0820785089702,89.95660024758102
0.24524291356404623,0.005309620084473403,0.017642656962076824,0.0010563376398565977,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",-3965.1984705771533,-2945.6908583560503,-2798.331337009941,-3236.406888647715,518.8330396516454,2,-1497.3865802583489,-1282.5800581605895,-1365.6297184674893,-1381.865452295476,88.44267361266174
0.12917168935139975,0.004435095579690471,0.010514100392659506,0.000307653862110821,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",-3924.6250034887994,-3078.63500319687,-2773.0804016471507,-3258.78013611094,487.0680610839593,5,-1106.0940916814193,-941.6336427980464,-1057.6383054112102,-1035.122013296892,69.00264424722245
0.25091926256815594,0.004418322612994378,0.010112365086873373,0.0019541782778913475,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",-3968.8603548554106,-3118.123003116317,-2867.556038461437,-3318.1797988110543,471.33487066326427,8,-1051.22422193525,-890.3021254389562,-1020.2850209836673,-987.2704561192912,69.72063972301028
0.11168694496154785,0.012771709315429475,0.006616830825805664,0.0016450430108282707,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",-3987.365974998757,-3021.32080070221,-2725.724086086553,-3244.80362059584,538.7599911248019,4,-1225.652249747797,-1031.6560066565219,-1184.4795219603734,-1147.2625927882307,83.45641755285806
0.1685954729715983,0.002210197421699537,0.007737636566162109,0.00040664961554711385,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",-3981.052786393074,-3036.4264676148987,-2773.4774145463466,-3263.65222285144,518.5127626553999,6,-1190.920787077967,-1026.6562069630093,-1162.4654077252637,-1126.6808005887467,71.67573578751268
