loss,mae,val_loss,val_mae
9220.9140625,9221.4140625,0.10527527332305908,0.42698848247528076
9220.4658203125,9220.9658203125,0.09735049307346344,0.4080984592437744
9220.0322265625,9220.5322265625,0.0889386311173439,0.38699233531951904
9219.5439453125,9220.0439453125,0.0807059183716774,0.36516350507736206
9218.958984375,9219.458984375,0.0724123865365982,0.34175845980644226
9218.40625,9218.90625,0.0642656609416008,0.31706148386001587
9217.8603515625,9218.3603515625,0.05680391192436218,0.2926221489906311
9217.2890625,9217.7890625,0.04876687377691269,0.26363661885261536
9216.7822265625,9217.2822265625,0.04099118337035179,0.23202666640281677
9216.361328125,9216.861328125,0.03505515307188034,0.21600474417209625
9215.9013671875,9216.4013671875,0.02919686585664749,0.2006593942642212
9215.46875,9215.96875,0.02239449881017208,0.17802417278289795
9215.1982421875,9215.6982421875,0.018272385001182556,0.15821778774261475
9214.8876953125,9215.3876953125,0.015881292521953583,0.14429883658885956
9214.58203125,9215.08203125,0.01515757106244564,0.1380186825990677
9214.4375,9214.9375,0.01702015846967697,0.15309657156467438
9214.185546875,9214.685546875,0.02089557610452175,0.17771120369434357
9213.9365234375,9214.4365234375,0.03352656960487366,0.2228790819644928
9214.087890625,9214.587890625,0.04895593971014023,0.27485841512680054
9213.6171875,9214.1171875,0.07174629718065262,0.3373994529247284
9213.2890625,9213.7890625,0.09742295742034912,0.39403021335601807
9213.255859375,9213.755859375,0.13635113835334778,0.47836655378341675
